"Source","Date","Female","Male"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-20-Mar.jpeg",2025-03-20,25,83
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-21-Mar.jpeg",2025-03-21,25,83
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-22-Mar.jpeg",2025-03-22,25,83
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-24-Mar.jpeg",2025-03-24,25,87
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-25-Mar.jpeg",2025-03-25,26,87
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-26-Mar.jpeg",2025-03-26,26,89
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-28-Mar.jpeg",2025-03-28,28,92
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Apr.jpeg",2025-04-01,29,96
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Apr.jpeg",2025-04-02,29,99
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Apr.jpeg",2025-04-03,32,101
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-7-Apr.jpeg",2025-04-07,34,104
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-8-Apr.jpeg",2025-04-08,34,104
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-9-Apr.jpeg",2025-04-09,40,110
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-10-Apr.jpeg",2025-04-10,46,130
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-13-Apr.jpeg",2025-04-13,77,165
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-14-Apr.jpeg",2025-04-14,77,165
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-15-Apr.jpeg",2025-04-15,107,194
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-16-Apr.jpeg",2025-04-16,123,218
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-18-Apr.jpeg",2025-04-18,162,264
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-19-Apr.jpeg",2025-04-19,171,270
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-20-Apr.jpeg",2025-04-20,187,290
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-21-Apr.jpeg",2025-04-21,187,290
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-22-Apr.jpeg",2025-04-22,187,290
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-25-Apr.jpeg",2025-04-25,290,388
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-27-Apr.jpeg",2025-04-27,382,464
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-28-Apr.jpeg",2025-04-28,389,472
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-May.jpeg",2025-05-02,569,657
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-May.jpeg",2025-05-04,653,725
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-5-May.jpeg",2025-05-05,659,728
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-6-May.jpeg",2025-05-06,703,778
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-7-May.jpeg",2025-05-07,734,811
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-8-May.jpeg",2025-05-08,761,842
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-9-May.jpeg",2025-05-09,796,879
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-10-May.jpeg",2025-05-10,846,969
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-11-May.jpeg",2025-05-11,922,1058
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-13-May.jpeg",2025-05-13,1005,1142
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-15-May.jpeg",2025-05-15,1122,1232
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-21-May.jpeg",2025-05-21,1364,1501
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-22-May.jpeg",2025-05-22,1399,1522
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-26-May.jpeg",2025-05-26,1510,1630
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-28-May.jpeg",2025-05-28,1566,1688
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Jun.jpeg",2025-06-02,1681,1842
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Jun.jpeg",2025-06-03,1722,1887
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-7-Jun.jpeg",2025-06-07,1802,1980
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-8-Jun.jpeg",2025-06-08,1819,1996
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-9-Jun.jpeg",2025-06-09,1827,2015
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-10-Jun.jpeg",2025-06-10,1864,2058
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-11-Jun.jpeg",2025-06-11,1886,2076
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-13-Jun.jpeg",2025-06-13,1912,2112
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-14-Jun.jpeg",2025-06-14,1927,2121
