"Source","Date","District","NewCases","TotalConfirmedCases"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Moyamba",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Port Loko",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Tonkolili",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Western urban",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Bombali",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Kailahun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Kambia",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Karene",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Kono",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Kenema",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Moyamba",NA,2
